source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
bbc-news,BBC News,,More Israeli air strikes on Beirut,"Israel hits the Lebanese capital as its troops reportedly fire at UN peacekeepers in the south of the country. We speak to a witness to the strikes in Beirut and a representative of UNWRA, the UN's organisation for Palestinian refugees. 

Also in the programm…",https://www.bbc.co.uk/programmes/w172zb93cxn1s4n,https://ichef.bbci.co.uk/images/ic/1200x675/p0jx0x2g.jpg,2024-10-10T21:13:00Z,"Israel hits the Lebanese capital as its troops reportedly fire at UN peacekeepers in the south of the country. We speak to a witness to the strikes in Beirut and a representative of UNWRA, the UN's o… [+431 chars]"
bbc-news,BBC News,,The Israel Defence Force is to step up attacks against Hezbollah in Lebanon,"The Israeli military says it has conducted a ""targeted"" strike in Lebanon's capital Beirut, details are still emerging. Just how much support is there inside Israel for this intensification of the conflict? We hear from an Israeli politician with the centrist…",https://www.bbc.co.uk/programmes/w172zb92nd08tww,https://ichef.bbci.co.uk/images/ic/1200x675/p0jshn98.jpg,2024-09-24T14:16:00Z,"The Israeli military says it has conducted a ""targeted"" strike in Lebanon's capital, Beirut. Just how much support is there inside Israel for the intensification of the conflict? We hear from an Isra… [+379 chars]"
bbc-news,BBC News,,Beirut rocked by huge blasts,"Several buildings are destroyed by a series of huge explosions in a densely-populated area in Lebanon's capital; Iran describes the attack as ‘a game changing escalation’. Earlier, Israeli Prime Minister Benjamin Netanyahu vowed to keep fighting Hezbollah, te…",https://www.bbc.co.uk/programmes/w172zb92nd0lcv2,https://ichef.bbci.co.uk/images/ic/1200x675/p0jt9mtg.jpg,2024-09-27T21:18:00Z,"Several buildings are destroyed by a series of huge explosions in a densely-populated area in Lebanon's capital; Iran describes the attack as a game changing escalation. Earlier, Israeli Prime Minist… [+437 chars]"
bbc-news,BBC News,,Women talk of sexual violence in Sudan's war,"In a rare report from Sudan's war-torn capital Khartoum, women have told the BBC about the gendered violence they face in areas controlled by the rebel Rapid Support Forces group.

They detail the harassment they face going about everyday lives and the threat…",https://www.bbc.co.uk/programmes/w172zb92nd0kjm5,https://ichef.bbci.co.uk/images/ic/1200x675/p0jt6kb2.jpg,2024-09-27T14:29:00Z,"In a rare report from Sudan's war-torn capital Khartoum, women have told the BBC about the gendered violence they face in areas controlled by the rebel Rapid Support Forces group.
They detail the ha… [+485 chars]"
bbc-news,BBC News,,Israel orders civilians to leave southern Lebanon as invasion continues,"The Israeli Defence Forces have struck targets in southern Lebanon and the capital, Beirut. Israel’s armed forces also ordered the evacuation of more than 20 villages in the south. 

Also on the programme: The UK agrees to surrender its control over the Chago…",https://www.bbc.co.uk/programmes/w172zb930nb7s9x,https://ichef.bbci.co.uk/images/ic/1200x675/p0jvfd0w.jpg,2024-10-03T14:37:00Z,"The Israeli Defence Forces have struck targets in southern Lebanon and the capital, Beirut. Israels armed forces also ordered the evacuation of more than 20 villages in the south. 
Also on the progr… [+371 chars]"
bbc-news,BBC News,,UN warns of refugee crisis in Lebanon,The United Nations has warned that Lebanon is facing a terrible crisis because of the fighting between Israel and Hezbollah. The head of the UN refugee agency said hundreds of thousands had been made homeless. Israel has meanwhile continued its airstrikes on …,https://www.bbc.co.uk/programmes/w172zb930nbgfc0,https://ichef.bbci.co.uk/images/ic/1200x675/p0jvwxy0.jpg,2024-10-05T21:20:00Z,The United Nations has warned that Lebanon is facing a terrible crisis because of the fighting between Israel and Hezbollah. The head of the UN refugee agency said hundreds of thousands had been made… [+603 chars]
bbc-news,BBC News,,"Zelensky announces ""Victory Plan"" for Ukraine","Key elements include a formal invitation to join NATO, the lifting by allies of bans on long-range strikes with Western-supplied weapons deep into Russia, a refusal to trade Ukraine’s territories and sovereignty, and the continuation of the incursion into Rus…",https://www.bbc.co.uk/programmes/w172zb93r5yr0vd,https://ichef.bbci.co.uk/images/ic/1200x675/p0jy5nc9.jpg,2024-10-16T21:33:00Z,"Key elements include a formal invitation to join NATO, the lifting by allies of bans on long-range strikes with Western-supplied weapons deep into Russia, a refusal to trade Ukraines territories and … [+527 chars]"
bbc-news,BBC News,,Israeli Prime Minister tells UN to withdraw from south Lebanon,The Israeli prime minister Benjamin Netanyahu has made a direct appeal to the UN Secretary-General Antonio Guterres to remove UN peacekeepers from areas in south Lebanon where Israeli forces are fighting Hezbollah. Our reporter is with Israeli troops as they …,https://www.bbc.co.uk/programmes/w172zb93cxn9hwx,https://ichef.bbci.co.uk/images/ic/1200x675/p0jxhf66.jpg,2024-10-13T13:12:00Z,The Israeli prime minister Benjamin Netanyahu has made a direct appeal to the UN Secretary-General Antonio Guterres to remove UN peacekeepers from areas in south Lebanon where Israeli forces are figh… [+432 chars]
bbc-news,BBC News,,Israeli air strikes on Beirut intensify,"Beirut has suffered one of the heaviest waves of Israeli bombing so far in the hostilities with Hezbollah.

More than thirty airstrikes hit the southern suburbs of the Lebanese capital, with Israel issuing a new call for residents to evacuate the area.

On th…",https://www.bbc.co.uk/programmes/w172zb930nbjc92,https://ichef.bbci.co.uk/images/ic/1200x675/p0jvzd19.jpg,2024-10-06T13:18:00Z,"Beirut has suffered one of the heaviest waves of Israeli bombing so far in the hostilities with Hezbollah.
More than thirty airstrikes hit the southern suburbs of the Lebanese capital, with Israel i… [+480 chars]"
bbc-news,BBC News,,Millions urged to leave Florida ahead of Hurricane Milton's landfall,"Hurricane Milton is expected to make landfall on Wednesday night near Tampa Bay and evacuation orders are in place for millions of people in Florida. So how is climate change making hurricanes worse and how will the US pay for the damage?

Also in the program…",https://www.bbc.co.uk/programmes/w172zb93cxmy10n,https://ichef.bbci.co.uk/images/ic/1200x675/p0jwmgqb.jpg,2024-10-09T14:33:00Z,Hurricane Milton is expected to make landfall on Wednesday night near Tampa Bay and evacuation orders are in place for millions of people in Florida. So how is climate change making hurricanes worse … [+582 chars]
bbc-news,BBC News,,Israel continues to strike Beirut as tensions rise,More explosions tore through the Lebanese capital today as Israeli military says it hit Hezbollah targets in Beirut. Israel has also continued to warn people in southern Lebanon to leave their homes - including in the region of Nabatieh. It comes as the Israe…,https://www.bbc.co.uk/programmes/w172zb930nb8mjt,https://ichef.bbci.co.uk/images/ic/1200x675/p0jvj8qb.jpg,2024-10-03T21:13:00Z,More explosions tore through the Lebanese capital today as Israeli military says it hit Hezbollah targets in Beirut. Israel has also continued to warn people in southern Lebanon to leave their homes … [+1013 chars]
bbc-news,BBC News,,Hamas-run ministry says 87 killed in Gaza,"Health officials say eighty seven Palestinians were killed in overnight Israeli strikes on an area of northern Gaza where people remain buried under the rubble. Israel has disputed the number of dead.

Also in the programme: Moldova holds two crucial votes; a…",https://www.bbc.co.uk/programmes/w172zb93r5z2nhr,https://ichef.bbci.co.uk/images/ic/1200x675/p0jz061h.jpg,2024-10-20T13:36:00Z,Health officials say eighty seven Palestinians were killed in overnight Israeli strikes on an area of northern Gaza where people remain buried under the rubble. Israel has disputed the number of dead… [+328 chars]
bbc-news,BBC News,,Israel-Iran tension escalates,"President Biden has said the US does not support an attack by Israel on Iran's nuclear sites, while the UN secretary general has warned of the danger of a regional war across the Middle East. We speak to expert on why diplomacy is crucial at this stage. 

Als…",https://www.bbc.co.uk/programmes/w172zb930nb5qmq,https://ichef.bbci.co.uk/images/ic/1200x675/p0jv84jl.jpg,2024-10-02T21:40:00Z,"President Biden has said the US does not support an attack by Israel on Iran's nuclear sites, while the UN secretary general has warned of the danger of a regional war across the Middle East. We spea… [+301 chars]"
bbc-news,BBC News,,Israel thought to be on brink of Lebanon ground incursion,"The US State Department says Israel has informed Washington of its plans to go into Lebanon. We track the latest events, and here from retired Israeli military man Amir Avivi and Lebanese politician Michel Helou. 

Also in the programme: the trail of destruct…",https://www.bbc.co.uk/programmes/w172zb930n9zxtj,https://ichef.bbci.co.uk/images/ic/1200x675/p0jts5y3.jpg,2024-09-30T21:33:00Z,"The US State Department says Israel has informed Washington of its plans to go into Lebanon. We track the latest events, and here from retired Israeli military man Amir Avivi and Lebanese politician … [+321 chars]"
bbc-news,BBC News,,Fresh Israeli airstrikes on Lebanon,"Beirut hit by heaviest strikes in more than a week after Israel’s Prime Minister Benjamin Netanyahu’s home was targeted by a drone from Lebanon. He has accused Hezbollah of trying to assassinate him. 

Also in the programme: How could Elon Musk affect the US …",https://www.bbc.co.uk/programmes/w172zb93r5z0qkp,https://ichef.bbci.co.uk/images/ic/1200x675/p0jyxlwl.jpg,2024-10-19T21:34:00Z,"Beirut hit by heaviest strikes in more than a week after Israels Prime Minister Benjamin Netanyahus home was targeted by a drone from Lebanon. He has accused Hezbollah of trying to assassinate him. … [+299 chars]"
bbc-news,BBC News,,Israel widens offensive and strikes Houthis in Yemen,"Israel has attacked Houthi sites in Yemen it said were used to transport Iranian weapons and oil. The strikes came as Israel carried out more attacks across Lebanon, and Hezbollah fired more rockets into northern Israel

Also on the programme: Austria's far r…",https://www.bbc.co.uk/programmes/w172zb92nd0s5n8,https://ichef.bbci.co.uk/images/ic/1200x675/p0jtkyd3.jpg,2024-09-29T21:12:00Z,"Israel has attacked Houthi sites in Yemen it said were used to transport Iranian weapons and oil. The strikes came as Israel carried out more attacks across Lebanon, and Hezbollah fired more rockets … [+411 chars]"
bbc-news,BBC News,,Israel battles Hezbollah in southern Lebanon,"Israel and Hezbollah report clashes near their borders in southern Lebanon as air strikes hit Beirut.

We hear from the Lebanese government about how it can keep its people safe
 
Also in the programme: We speak to Sharone Lifschitz, whose parents were taken …",https://www.bbc.co.uk/programmes/w172zb930nbfgcz,https://ichef.bbci.co.uk/images/ic/1200x675/p0jvv813.jpg,2024-10-05T13:06:00Z,"Israel and Hezbollah report clashes near their borders in southern Lebanon as air strikes hit Beirut.
We hear from the Lebanese government about how it can keep its people safe
Also in the programm… [+360 chars]"
bbc-news,BBC News,,Hezbollah open to ceasefire,"The deputy leader of Hezbollah, Naim Qassem has said he supports a call from Lebanon's parliament for a ceasefire with Israel. It's thought to be the first time Hezbollah has voiced such a view without tying it to a truce in Gaza. Israel's military says one o…",https://www.bbc.co.uk/programmes/w172zb93cxmv43k,https://ichef.bbci.co.uk/images/ic/1200x675/p0jwdhwf.jpg,2024-10-08T14:32:00Z,"The deputy leader of Hezbollah, Naim Qassem has said he supports a call from Lebanon's parliament for a ceasefire with Israel. It's thought to be the first time Hezbollah has voiced such a view witho… [+415 chars]"
bbc-news,BBC News,,Israeli tanks ‘forced’ into UN base,"The UN peacekeeping force in southern Lebanon, known as UNIFIL is demanding explanations from Israel after two tanks drove through the gates of one of their compounds in southern Lebanon earlier today. We hear from UNIFIL's spokesperson Andrea Tenenti. 

Also…",https://www.bbc.co.uk/programmes/w172zb93cxnbgvy,https://ichef.bbci.co.uk/images/ic/1200x675/p0jxjr0f.jpg,2024-10-13T21:13:00Z,"The UN peacekeeping force in southern Lebanon, known as UNIFIL is demanding explanations from Israel after two tanks drove through the gates of one of their compounds in southern Lebanon earlier toda… [+509 chars]"
bbc-news,BBC News,,Israel launches ground invasion of southern Lebanon,"Israel has told the residents of more than twenty locations in southern Lebanon to evacuate immediately. Its forces have been carrying out what it describes as limited, localised raids across the Lebanese border against Hezbollah. We hear from Peter Lerner of…",https://www.bbc.co.uk/programmes/w172zb930nb1zhq,https://ichef.bbci.co.uk/images/ic/1200x675/p0jtwx8g.jpg,2024-10-01T14:15:00Z,"Israel has told the residents of more than twenty locations in southern Lebanon to evacuate immediately. Its forces have been carrying out what it describes as limited, localised raids across the Leb… [+492 chars]"
bbc-news,BBC News,,Lebanese soldiers killed in Israeli strike,"The Lebanese army says that three soldiers have been killed after a military vehicle was hit by an Israeli air strike.

Near the border, UN peacekeepers say their watchtower was bulldozed by the Israeli army.

Also in the programme: Moldova takes part in pres…",https://www.bbc.co.uk/programmes/w172zb93r5z3mgs,https://ichef.bbci.co.uk/images/ic/1200x675/p0jz1nlh.jpg,2024-10-20T21:16:00Z,"The Lebanese army says that three soldiers have been killed after a military vehicle was hit by an Israeli air strike.
Near the border, UN peacekeepers say their watchtower was bulldozed by the Isra… [+509 chars]"
bbc-news,BBC News,,Iran launches barrage of missiles at Israel,Explosions have been heard across Israel after Iran said it had launched dozens of ballistic missiles towards the country. Iran’s Revolutionary Guards said it launched the missiles in retaliation for recent attacks that killed the leaders of Hezbollah and Ham…,https://www.bbc.co.uk/programmes/w172zb930nb2tqm,https://ichef.bbci.co.uk/images/ic/1200x675/p0jtzzf0.jpg,2024-10-01T21:06:00Z,Explosions have been heard across Israel after Iran said it had launched dozens of ballistic missiles towards the country. Irans Revolutionary Guards said it launched the missiles in retaliation for … [+425 chars]
bbc-news,BBC News,,Israel and Hezbollah clash inside Lebanon,"With reports of close combat between Israeli soldiers and Hezbollah in southern Lebanon, we hear from both sides of the border. And how will Israel respond to Iran's barrage of missiles last night? 

We also get reaction from Tehran to Iran's decision to atta…",https://www.bbc.co.uk/programmes/w172zb930nb4wdt,https://ichef.bbci.co.uk/images/ic/1200x675/p0jv4l7w.jpg,2024-10-02T14:07:00Z,"With reports of close combat between Israeli soldiers and Hezbollah in southern Lebanon, we hear from both sides of the border. And how will Israel respond to Iran's barrage of missiles last night? … [+357 chars]"
bbc-news,BBC News,,Khamenei calls on allies for support against Israel,"Leading Friday prayers in Tehran, Iran’s Supreme Leader told a crowd of thousands that Iran’s allies must ‘fasten the seatbelt of resistance from Iran to Afghanistan’. Israel has continued to intensify its strikes against Hezbollah targets in Lebanon. 
 
Also…",https://www.bbc.co.uk/programmes/w172zb930nbbp70,https://ichef.bbci.co.uk/images/ic/1200x675/p0jvp1y7.jpg,2024-10-04T14:26:00Z,"Leading Friday prayers in Tehran, Irans Supreme Leader told a crowd of thousands that Irans allies must fasten the seatbelt of resistance from Iran to Afghanistan. Israel has continued to intensify i… [+422 chars]"
bbc-news,BBC News,,Israeli strike on a residential building in northern Lebanon kills 21,"Lebanon says the number of people killed in a presumed Israeli airstrike in northern Lebanon has risen to twenty-one. The strike hit Aitou, a Christian-majority village in the mountains near Tripoli. We hear from the Lebanese Red Cross.

Also in the programme…",https://www.bbc.co.uk/programmes/w172zb93r5yk716,https://ichef.bbci.co.uk/images/ic/1200x675/p0jxrlcq.jpg,2024-10-14T21:26:00Z,"Lebanon says the number of people killed in a presumed Israeli airstrike in northern Lebanon has risen to twenty-one. The strike hit Aitou, a Christian-majority village in the mountains near Tripoli.… [+412 chars]"
bbc-news,BBC News,,Who's likely to be the next leader of Hamas?,"Since Israel announced on Thursday that it had killed the leader of Hamas, Yahya Sinwar, people have been wondering who could replace him. We speak to a political scientist who monitors the militant group. 

Also in the programme: we analyse reports that Nort…",https://www.bbc.co.uk/programmes/w172zb93r5yxtnl,https://ichef.bbci.co.uk/images/ic/1200x675/p0jys2tz.jpg,2024-10-18T21:32:00Z,"Since Israel announced on Thursday that it had killed the leader of Hamas, Yahya Sinwar, people have been wondering who could replace him. We speak to a political scientist who monitors the militant … [+395 chars]"
bbc-news,BBC News,,Dozens reported killed in the latest Gaza strike,"Dozens of Palestinians are reported to have been killed in the latest Israeli strikes in north Gaza. The UN agency UNRWA tells us civilians are suffering in the camp, and unable to get out. We also hear from the Israeli Defence Forces.
 
Also in the programme…",https://www.bbc.co.uk/programmes/w172zb93r5yzrln,https://ichef.bbci.co.uk/images/ic/1200x675/p0jyw206.jpg,2024-10-19T13:27:00Z,"Dozens of Palestinians are reported to have been killed in the latest Israeli strikes in north Gaza. The UN agency UNRWA tells us civilians are suffering in the camp, and unable to get out. We also h… [+374 chars]"
bbc-news,BBC News,,Israel says Killing of Hezbollah leader is 'historic turning point',"The Israeli prime minister Benjamin Netanyahu has hailed the killing of the Hezbollah leader Hassan Nasrallah in Beirut as a historic turning point that will help Israel achieve its war goals. 

On the programme: We will talk to a spokesman for Israel's milit…",https://www.bbc.co.uk/programmes/w172zb92nd0p8r5,https://ichef.bbci.co.uk/images/ic/1200x675/p0jtgb69.jpg,2024-09-28T21:28:00Z,"The Israeli prime minister Benjamin Netanyahu has hailed the killing of the Hezbollah leader Hassan Nasrallah in Beirut as a historic turning point that will help Israel achieve its war goals. 
On t… [+399 chars]"
bbc-news,BBC News,,"Israel continues to strike Hezbollah, Hamas and Houthi targets","Israel continues to strike Hezbollah, Hamas and Houthi targets, as speculation about an Israeli ground invasion of Lebanon grows. We hear live from the Middle East, where Hezbollah's deputy leader has made a defiant speech after the killing of Hassan Nasralla…",https://www.bbc.co.uk/programmes/w172zb930n9z2lm,https://ichef.bbci.co.uk/images/ic/1200x675/p0jtppdt.jpg,2024-09-30T15:41:00Z,"Israel continues to strike Hezbollah, Hamas and Houthi targets, as speculation about an Israeli ground invasion of Lebanon grows. We hear live from the Middle East, where Hezbollah's deputy leader ha… [+525 chars]"
bbc-news,BBC News,,Israel confirms killing of Hamas leader Yahya Sinwar,"Yahya Sinwar, who topped Israel's most-wanted list, was a key figure believed to have been behind the 7 October attacks. The Israeli Defence Force tells us how the operation was carried out.
 
Also in the programme: With new questions about the likelihood of …",https://www.bbc.co.uk/programmes/w172zb93r5ytxrh,https://ichef.bbci.co.uk/images/ic/1200x675/p0jyjqxm.jpg,2024-10-17T21:18:00Z,"Yahya Sinwar, who topped Israel's most-wanted list, was a key figure believed to have been behind the 7 October attacks. The Israeli Defence Force tells us how the operation was carried out.
Also in… [+411 chars]"
bbc-news,BBC News,,Lebanon says 13 killed as Blinken arrives in Israel,"Lebanese officials say an Israeli airstrike near the country's biggest hospital has killed at least 13 people and injured more than 50. 

Also on the programme: we speak to the man accused by the Moldovan government of trying to bribe people to vote against j…",https://www.bbc.co.uk/programmes/w172zb943g8dfb7,https://ichef.bbci.co.uk/images/ic/1200x675/p0jzd6wc.jpg,2024-10-22T14:26:00Z,"Lebanese officials say an Israeli airstrike near the country's biggest hospital has killed at least 13 people and injured more than 50. 
Also on the programme: we speak to the man accused by the Mol… [+372 chars]"
bbc-news,BBC News,,23/09/2024 13:06 GMT,Lebanon's information minister confirms heavy casualties from today's strikes,https://www.bbc.co.uk/programmes/w172zb92nd05xzs,https://ichef.bbci.co.uk/images/ic/1200x675/p0js9qnc.jpg,2024-09-23T14:46:00Z,Lebanon's health ministry says hundreds of people have been killed and more than a thousand wounded in Israeli strikes today - the deadliest day of Israel-Hezbollah conflict in the past year. Over th… [+389 chars]
bbc-news,BBC News,,10/10/2024 13:06 GMT,"The individuals died in St Lucie County,  on Florida's east coast",https://www.bbc.co.uk/programmes/w172zb93cxn0xxr,https://ichef.bbci.co.uk/images/ic/1200x675/p0jwy5jc.jpg,2024-10-10T14:31:00Z,"Hurricane Milton brought tornadoes, floods and storm surges to the state. And more than 3 million homes and businesses are without power, while Governor Ron DeSantis says more flooding is expected in… [+434 chars]"
bbc-news,BBC News,,Ukraine’s president persuades - and annoys - in the US,"President Zelensky persuaded the US President to give Ukraine more aid – but also alienated Republicans – during his visit to the US. Does the fate of Ukraine now turn on the result of November's US election?

Also in the programme: we hear from Syria, as ten…",https://www.bbc.co.uk/programmes/w172zb92nd0hgxz,https://ichef.bbci.co.uk/images/ic/1200x675/p0jt25y3.jpg,2024-09-26T21:30:00Z,President Zelensky persuaded the US President to give Ukraine more aid but also alienated Republicans during his visit to the US. Does the fate of Ukraine now turn on the result of November's US elec… [+498 chars]
bbc-news,BBC News,,UNRWA: Palestinians face further displacement,"The UN agency for Palestinian refugees warns that food supplies in Gaza are diminishing. One quarter of Lebanon is now covered by evacuation orders, and around 1.2 million people are displaced as Israel attempts to cripple Hezbollah. It comes as US President …",https://www.bbc.co.uk/programmes/w172zb93cxmyw7k,https://ichef.bbci.co.uk/images/ic/1200x675/p0jwr75j.jpg,2024-10-09T21:18:00Z,"The UN agency for Palestinian refugees warns that food supplies in Gaza are diminishing. One quarter of Lebanon is now covered by evacuation orders, and around 1.2 million people are displaced as Isr… [+757 chars]"
bbc-news,BBC News,,Guterres condemns Israeli attacks on UN peacekeeper positions in Lebanon,"The UN Secretary General António Guterres has condemned Israel's firing on positions held by UN peacekeepers in southern Lebanon. Two more are reported to have been injured today, although the cause has not yet been established.

Also in the programme: the No…",https://www.bbc.co.uk/programmes/w172zb93cxn3ttv,https://ichef.bbci.co.uk/images/ic/1200x675/p0jx602g.jpg,2024-10-11T15:25:00Z,"The UN Secretary General António Guterres has condemned Israel's firing on positions held by UN peacekeepers in southern Lebanon. Two more are reported to have been injured today, although the cause … [+504 chars]"
bbc-news,BBC News,,Israel marks anniversary of October 7th Hamas attacks,"It's a day of ceremonies in Israel in memory of the nearly twelve hundred people killed and two-hundred-and-fifty taken hostage by Hamas in the attacks launched from Gaza exactly one year ago. The Israeli Prime Minister, Benjamin Netanyahu, visited a monument…",https://www.bbc.co.uk/programmes/w172zb93cxms2fc,https://ichef.bbci.co.uk/images/ic/1200x675/p0jw750c.jpg,2024-10-07T21:13:00Z,It's a day of ceremonies in Israel in memory of the nearly twelve hundred people killed and two-hundred-and-fifty taken hostage by Hamas in the attacks launched from Gaza exactly one year ago. The Is… [+639 chars]
bbc-news,BBC News,,Middle East: UN warns of dire consequences,"The Israel Defense Forces (IDF) said a fourth division had joined the eight-day-old ground operation seeking to dismantle Hezbollah targets and infrastructure. Meanwhile, Israeli Defence Minister Yoav Gallant told officers that the successor of assassinated H…",https://www.bbc.co.uk/programmes/w172zb93cxmvzbg,https://ichef.bbci.co.uk/images/ic/1200x675/p0jwgvcd.jpg,2024-10-08T21:23:00Z,"The Israel Defense Forces (IDF) said a fourth division had joined the eight-day-old ground operation seeking to dismantle Hezbollah targets and infrastructure. Meanwhile, Israeli Defence Minister Yoa… [+790 chars]"
bbc-news,BBC News,,"With Hamas leader Sinwar dead, what now?","With the Hamas leader Yahya Sinwar dead, what now for the conflict in Gaza? An Israeli minister tells us it brings a hostage release closer, but in its first statement since the killing, Hamas sounds defiant. One close observer of the group tells us that the …",https://www.bbc.co.uk/programmes/w172zb93r5ywzfp,https://ichef.bbci.co.uk/images/ic/1200x675/p0jypgvs.jpg,2024-10-18T14:12:00Z,"With the Hamas leader Yahya Sinwar dead, what now for the conflict in Gaza? An Israeli minister tells us it brings a hostage release closer, but in its first statement since the killing, Hamas sounds… [+725 chars]"
