author,title,description,url,publishedAt,content,source_id,source_name
Emma Saunders,Liam Payne: Has the music industry let young pop stars down?,"Is duty of care to musicians, particularly young artists, being addressed in the music industry?",https://www.bbc.co.uk/news/articles/ckgnmmgrxz6o,2024-10-21T13:39:53Z,"Matt Thomas, who co-founded the charity Music Support in 2016 after two decades as a record label executive and artist manager, said he had seen ""massive changes"" in recent years.
""I actually think … [+2433 chars]",bbc-news,BBC News
Rachael Mcmenemy,Woman admits hurling McDonald's milkshake over Nigel Farage,Victoria Thomas Bowen threw the drink at the Reform UK leader as he was campaigning in June.,https://www.bbc.co.uk/news/articles/cd7x17ljpzgo,2024-10-21T10:23:32Z,"Andrew Price, defending, told the court ""a number of threats"" had been made against Thomas Bowen and the case ""has had a tremendous impact"" on her. 
He said she had tried to put it out of her mind a… [+1146 chars]",bbc-news,BBC News
Michael Sheils Mcnamee,"New young drivers should not have under-21s as passengers, says AA",It is also proposed that under-21s could lose their licences for not wearing a seatbelt.,https://www.bbc.co.uk/news/articles/c361g6nz5j1o,2024-10-21T08:21:35Z,"If it were brought in across the UK, it would mean young drivers marking their vehicles with G plates - with a failure to display them punishable with three points on their licence. 
While the propo… [+2514 chars]",bbc-news,BBC News
Bbc News,TikTok owner sacks intern for sabotaging AI project,Chinese technology giant ByteDance denied reports that the incident caused more than $10m of damage.,https://www.bbc.co.uk/news/articles/c7v62gg49zro,2024-10-21T02:50:19Z,"""The individual was an intern with the [advertising] technology team and has no experience with the AI Lab,"" ByteDance said in a statement.
""Their social media profile and some media reports contain… [+947 chars]",bbc-news,BBC News
Sarah Rainsford,Moldova referendum: Provision results show thin margin for EU membership,Moldovans are facing a choice between pushing on with EU membership or keeping close ties to Russia.,https://www.bbc.co.uk/news/articles/c1wnr5qdxe7o,2024-10-20T18:06:17Z,"At Sandu's election headquarters on Sunday evening, the mood was extremely subdued, with one of her advisers describing the result so far as ""not what we expected"". 
Sandu, who has cultivated close … [+1750 chars]",bbc-news,BBC News
Tom Bennett,Elon Musk pledges to give away $1m per day to Pennsylvania voters,The winner will be chosen from those who sign a petition by the tech billionaire's Trump-supporting campaign group.,https://www.bbc.co.uk/news/articles/cg78ljxn8g7o,2024-10-20T11:43:33Z,"Those who sign the petition - which pledges to support free speech and gun rights - will have to give their contact details, potentially allowing AmericaPAC to contact them about their vote. 
Musk h… [+1745 chars]",bbc-news,BBC News
Susie Rack,Ombersley man completes 400-mile charity mental health walk,"Mark Phillips, from Ombersley, says he struggled mentally after his business collapsed.",https://www.bbc.co.uk/news/articles/c3wpj28jeqjo,2024-10-20T11:09:04Z,"Despite his ""legs killing"", he made it to his final destination two weeks later, raising more than £2,000 for three charities.
""It's fantastic... people have taken notice of what I've done,"" he said… [+516 chars]",bbc-news,BBC News
Eimear Flanagan,Stillbirth: 'Irish database means our son will not be forgotten',An Irish mother whose eldest boy was stillborn hails the importance of a new public record of loss.,https://www.bbc.co.uk/news/articles/c4gqlwvygdno,2024-10-20T05:50:04Z,"In recent years much of the secrecy that once surrounded stillbirth and miscarriage has dissipated as more parents like Maria choose to speak out about baby loss. 
Those changing attitudes are also … [+1877 chars]",bbc-news,BBC News
Benjamin Wright,Zayn Malik postpones US tour after 'heartbreaking' loss of Liam Payne,The former One Direction singer was due to start a run of US shows in San Francisco next week.,https://www.bbc.co.uk/news/articles/ce8v50lk8dpo,2024-10-19T18:32:44Z,"Payne and Malik rose to global fame as part of the boyband One Direction - created on The X Factor TV show in 2010 - and sang together with bandmates Harry Styles, Louis Tomlinson, and Niall Horan.
… [+1077 chars]",bbc-news,BBC News
Danai Nesta Kupemba,Why African leaders like Cameroon's President Paul Biya hides his health,There is a long history of African leaders hiding or lying about their health to keep rivals at bay.,https://www.bbc.co.uk/news/articles/ce3w73n8dqdo,2024-10-19T08:17:41Z,"Chakwera and Biya used very different approaches to tackle the rumours about illnesses, but they had a similar intent - to project, and protect, an image of strength and virility.
But perhaps most i… [+2708 chars]",bbc-news,BBC News
Grace Wood,International Crisp Festival brings 70 flavours to Huddersfield,"The man behind the idea says it started as a ""silly idea"" and just grew from there.",https://www.bbc.co.uk/news/articles/cd0z9lelyn9o,2024-10-19T06:18:19Z,"The Sportsman Inn stopped serving food after the Covid lockdowns because it was difficult to make any margin on.
But Mr Fletcher said the event proved there was still a place for beer-led venues.
T… [+1093 chars]",bbc-news,BBC News
George Sandeman,Revolut: More than 100 customers contact BBC about scams,People say they have been poorly treated by the firm after being tricked out of cash while using app.,https://www.bbc.co.uk/news/articles/c9wkzv1zk91o,2024-10-19T05:45:13Z,"The e-money firm, founded in 2015 by two former bankers, has nine million customers in the UK and announced record annual profits last year of £438m.
Revolut was also named in more reports of fraud … [+1449 chars]",bbc-news,BBC News
Iain Watson,Budget 2024: Reeves considers income tax threshold freeze,Government sources insist the move would not constitute a breach of Labour's manifesto tax pledge.,https://www.bbc.co.uk/news/articles/c79npj3eqdlo,2024-10-19T04:50:33Z,"Tax thresholds were frozen by the previous Conservative government in 2022, but were due to rise again each year from 2028.
The chancellor is now said to be weighing a plan to extend the freeze for … [+806 chars]",bbc-news,BBC News
Bbc News,Boohoo considers break-up as sales slide,The online fashion firm is mulling whether to offload its brands as sales remain under pressure.,https://www.bbc.co.uk/news/articles/crkdynj42ldo,2024-10-18T14:37:08Z,"""The starting gun has been fired on the break-up of Boohoo,"" said Russ Mould, investment director at AJ Bell.
""Selling Karen Millen and Debenhams is the obvious starting point, leaving Boohoo with a… [+2075 chars]",bbc-news,BBC News
Tim Donovan,Taylor Swift: Sadiq Khan declares tickets 10 days late,London’s mayor made the declaration 10 days after the City Hall deadline for  gifts and hospitality.,https://www.bbc.co.uk/news/articles/cp39g17gr4wo,2024-10-18T13:39:25Z,"Khan attended the stars concert on 15 August the first of the second London leg of her Eras tour.
It emerged on Friday that he shared a box with members of his family, a number of City Hall staff, a… [+1700 chars]",bbc-news,BBC News
João Da Silva,"China economy slowdown deepens, official figures show","Gross domestic product rose by 4.6% on a yearly basis, below Beijing's ""around 5%"" annual target.",https://www.bbc.co.uk/news/articles/crr54x00857o,2024-10-18T09:15:22Z,"""The property market unsurprisingly remains the biggest drag on China's growth,"" said Lynn Song, chief economist for greater China at banking giant ING.
""New investment is unlikely to see a substant… [+879 chars]",bbc-news,BBC News
Faisal Islam & Mitch Labiak,Treasury hints Labour will spend billions on infrastructure,Government claims the move contrasts with former PM Liz Truss's controversial mini-Budget.,https://www.bbc.co.uk/news/articles/cvglyxn0444o,2024-10-18T05:21:09Z,"At the moment, the amount of money the government can borrow for investment is determined by government debt.
But the Treasury effectively confirmed it will loosen the long-standing self-imposed tar… [+2785 chars]",bbc-news,BBC News
Emma Vardy,The parties that led to the downfall of Sean 'Diddy' Combs,"Mr Combs' former publicist says the rapper wanted to be the ""party king"" and was obsessed with fame and power.",https://www.bbc.co.uk/news/articles/cyvyll3d1r8o,2024-10-18T02:20:13Z,"While various lawsuits detail alleged sexual assaults at parties held at Mr Combs's properties, so-called ""Freak-off"" parties at hotel rooms appear to be a focus for federal authorities. The Departme… [+3097 chars]",bbc-news,BBC News
Mitchell Labiak,"Instagram-owner Meta fires staff for buying toothpaste, not lunch",Meta workers reportedly used vouchers that should have been spent on meals to buy household goods.,https://www.bbc.co.uk/news/articles/cvgdyzq3wz5o,2024-10-17T16:51:49Z,"Meta staff are given $25 (£19) for lunch, $20 for breakfast, and $25 for dinner in vouchers which are meant to be used for ordering food from Grubhub, the US name for takeaway website Just Eat.
Post… [+1585 chars]",bbc-news,BBC News
Elliot Ball,Guernsey Post's myUKaddress scheme to help online shoppers,The free service will mean islanders can shop from retailers who do not currently ship to the Channel Islands.,https://www.bbc.co.uk/news/articles/clyl7v32585o,2024-10-17T12:27:44Z,"She said: ""We know that a frustration of island life is trying to shop online and finding out at checkout - or worse, days later - that the item you want is restricted to mainland delivery. 
""Our ne… [+960 chars]",bbc-news,BBC News
James Fitzgerald,Trump calls 6 January 'day of love' when asked about US Capitol riot,"The ex-president says 'nothing done wrong' on the day when his supporters breached the Congress, forcing lawmakers to flee.",https://www.bbc.co.uk/news/articles/ckgnxej1dn0o,2024-10-17T12:14:52Z,"During his ""town hall"" event in Miami, Florida, Trump was challenged to win back the vote of a man who said he had been disturbed by what happened after the Republican lost the 2020 vote.
""Nothing d… [+1539 chars]",bbc-news,BBC News
Joe Crowley,"Sewage illegally dumped into Windermere repeatedly over 3 years, BBC finds","United Utilities failed to report 100 million litres of illegal discharges, analysis of its data shows.",https://www.bbc.co.uk/news/articles/cdrj70dynk1o,2024-10-17T04:49:34Z,"It is not the first time that United Utilities pumping station on the edge of Windermere has come under scrutiny.
Earlier this year BBC News reported millions of litres being illegally discharged in… [+2006 chars]",bbc-news,BBC News
Kayla Epstein And Ana Faguy,Trump tells all-woman town hall he is 'father of IVF',"Trump pitches the economy and immigration as kitchen-table issues, but faces some pointed questions.",https://www.bbc.co.uk/news/articles/ce3zrvyx7zpo,2024-10-17T03:54:13Z,"The town hall was broadcast on Fox News, which provided Trump with a friendly forum where he could work to improve how women view him.
One questioner told him: I know you will fight for us in the fu… [+2606 chars]",bbc-news,BBC News
João Da Silva,US 'click to cancel' rule to tackle subscription traps,New rule requires businesses to make subscribing and cancelling subscriptions equally simple.,https://www.bbc.co.uk/news/articles/c07nlvmyl05o,2024-10-17T02:17:17Z,"Too often, businesses make people jump through endless hoops just to cancel a subscription, said FTC chair Lina Khan. 
The FTCs rule will end these tricks and traps, saving Americans time and money.… [+1737 chars]",bbc-news,BBC News
Emily Johnson,Scarborough: Women 'dine and dash' after birthday meal,Group order oysters and wine before leaving without paying their £174 bill.,https://www.bbc.co.uk/news/articles/c2069g4gxzdo,2024-10-16T16:24:26Z,"The timing of the dine and dash incident was particularly difficult for the restaurant. 
Ms Partridge said it was one of the few seaside cafés which stayed open seven days a week during the winter s… [+511 chars]",bbc-news,BBC News
João Da Silva,Boeing raising up to $35bn as costly strike enters second month,"The firm aims to secure the new funding as a walkout by more than 30,000 workers enters its second month.",https://www.bbc.co.uk/news/articles/cwy9l7k40kgo,2024-10-16T13:51:49Z,"Boeing plans to raise up to $25bn in stock and debt offerings and said it had reached a deal with major banks to borrow as much much as $10bn. 
""These are two prudent steps to support the companys a… [+1294 chars]",bbc-news,BBC News
BBC World Service,"Trailer: World of Secrets, Al Fayed, Predator at Harrods","Egyptian billionaire Mohamed Al Fayed – former owner of one of the most famous shops in the world – is accused of rape and attempted rape by women who worked for him. For the full investigation, search for World of Secrets wherever you get your BBC podcasts.
…",https://www.bbc.co.uk/programmes/p0jxqgzz,2024-10-16T12:00:00Z,"Egyptian billionaire Mohamed Al Fayed former owner of one of the most famous shops in the world is accused of rape and attempted rape by women who worked for him. For the full investigation, search f… [+721 chars]",bbc-news,BBC News
Kevin Peachey,Why this month's inflation figure matters for you,"The rate of rising prices, known as inflation, are a key factor in our own finances, particularly at this time of year.",https://www.bbc.co.uk/news/articles/czrmzm3113po,2024-10-16T09:12:06Z,"As inflation is now below the Bank of England's 2% target, it paves the way for further interest rate cuts.
That would make borrowing money less expensive, but could mean lower returns for savers.
… [+988 chars]",bbc-news,BBC News
Bbc News,UK inflation falls to lowest level in more than three years,"The UK inflation rate fell to 1.7% in September, the lowest rate since April 2021.",https://www.bbc.co.uk/news/articles/czxde3779lxo,2024-10-16T06:06:16Z,"UK inflation fell to 1.7% in the year to September, the lowest rate in more than three years, official figures show.
Lower airfares and petrol prices were the main driver behind the fall, the Office… [+258 chars]",bbc-news,BBC News
Andrew Mcnair,Classic Mineral Water: Contaminated supply threatens jobs,The company distributes bottled water from Lurgan to a number of retailers including Tesco.,https://www.bbc.co.uk/news/articles/cx2ljrv723no,2024-10-16T05:30:47Z,"The company sources its water from four borewells on its site which it says delivers over 100,000 litres of water every hour.
In the statement, which has been seen by the BBC, the company blames the… [+391 chars]",bbc-news,BBC News
Michelle Roberts,"NHS needs better plan around obesity jabs, warn experts",Experts call for an urgent review of obesity treatment services amid booming demand for weight loss jabs.,https://www.bbc.co.uk/news/articles/c5y03p4xlx8o,2024-10-16T02:33:28Z,"They say the government must fix some fundamentals issues in NHS obesity services - chronic underfunding, workforce challenges and unequal access to care. 
The letter to Wes Streeting is being sent … [+2710 chars]",bbc-news,BBC News
Cherry Wilson & Jim Connolly,Inside the £70K 'mafia-style' shoplifting champagne gang,"A crime gang has stolen more than £70,000 of goods from UK supermarkets in 18 months, the BBC hears.",https://www.bbc.co.uk/news/articles/czxdr29lyggo,2024-10-16T01:54:01Z,"Retailers have repeatedly warned that shoplifting gangs are helping to fuel the rise in retail crime - and it is hitting shoppers in their pockets.
Shoplifting added £133 to the cost of an average U… [+1085 chars]",bbc-news,BBC News
Faisal Islam And Mitchell Labiak,"Mental health patients to get job coach visits, says minister","Pensions Secretary Liz Kendall says trials of the idea have produced ""dramatic results"".",https://www.bbc.co.uk/news/articles/c98y09n8201o,2024-10-15T23:25:09Z,"It predicted the Department for Work and Pensions (DWP) would spend £63bn by 2028-29, a jump from £48bn for 2023-24.
I want to see those costs coming down, because I want to have people able to work… [+917 chars]",bbc-news,BBC News
Sam Francis,Keir Starmer does not rule out NI rise for employers,"Sir Keir Starmer says this month's Budget was ""going to be tough"" but would ""focus on rebuilding our country"".",https://www.bbc.co.uk/news/articles/cx20mp7e545o,2024-10-15T07:54:08Z,"The prime minister is adamant that he will not be drawn on budget speculation in advance of the formal announcement in just over a fortnight. 
That is the standard position that governments adopt gi… [+1136 chars]",bbc-news,BBC News
Bbc News,Unemployment rate dips as pay growth slows,Expectations of a rate cut next month increase as pay growth slows to its lowest rate for more than two years.,https://www.bbc.co.uk/news/articles/ce3w7dqn454o,2024-10-15T06:12:49Z,"YaelSelfin, chief economist at KPMG UK, said the latest figures on wages plus slowing economic growth meant she expected the Bank of England to cut rates next month.
The latest figures from the the … [+983 chars]",bbc-news,BBC News
Esme Stallard,"Burning household rubbish now UK’s dirtiest form of power, BBC finds","Nearly half of waste is now burned for energy, but BBC analysis finds it is as dirty as coal.",https://www.bbc.co.uk/news/articles/cp3wxgje5pwo,2024-10-15T04:45:35Z,"The challenge is that even if local authorities wanted to move away from the use of energy-from-waste plants they are often unable to due to restrictive, long-term contracts.
The BBC made Freedom of… [+1460 chars]",bbc-news,BBC News
Ruth Comerford,Obesity: Jobless could get weight loss jabs to return to work,The health secretary announces trials to explore the effect of weight loss drugs on worklessness.,https://www.bbc.co.uk/news/articles/cjd54zd0ezjo,2024-10-15T04:23:54Z,"Illnesses relating to obesity cost the NHS £11bn a year, Streeting said. 
His words came as the government announced a £279 million investment from Lilly, the world's largest pharmaceutical company,… [+1858 chars]",bbc-news,BBC News
João Da Silva,Google goes nuclear to power its artificial intelligence data centres,The tech giant says it will use energy from small reactors to power its use of artificial intelligence.,https://www.bbc.co.uk/news/articles/c748gn94k95o,2024-10-15T01:14:27Z,"""The grid needs new electricity sources to support AI technologies,"" said Michael Terrell, external, senior director for energy and climate at Google.
""This agreement helps accelerate a new technolo… [+2057 chars]",bbc-news,BBC News
Madeline Halpert,Boba tea company apologises over Canada Dragon's Den row,Marvel actor Simu Liu accused Canadian entrepreneurs of culturally appropriating the Taiwanese drink.,https://www.bbc.co.uk/news/articles/c3wp0175w9xo,2024-10-15T00:40:33Z,"Theres an issue of taking something thats very distinctly Asian in its identity and making it better, which I have an issue with, he added.
The Canadian-Chinese actor also pressed the business owner… [+2050 chars]",bbc-news,BBC News
Samantha Granville & Christal Hayes,Sean 'Diddy' Combs facing fresh sexual assault allegations,"The incidents alleged in the complaints, which were filed in New York federal court, span from 1995 until 2021.",https://www.bbc.co.uk/news/articles/c2eklxx9y1ro,2024-10-14T19:01:51Z,One of the accusers said he was 16 when he attended one of the parties in the Hamptons in 1998. He says he was having a conversation with the rapper about breaking into the music industry when an all… [+1484 chars],bbc-news,BBC News
Pamela Tickell,County Durham mum died when 'defective' bed fell and trapped her,"Helen Davey was leaning over the storage area when the mattress platform fell, a report says.",https://www.bbc.co.uk/news/articles/cpv23gz78jgo,2024-10-14T11:11:52Z,"In a Prevention of Future Deaths (PFD) report, the coroner said the existence and use of gas piston bed mechanisms that fail ""presents risk to life"", external.
He said during the course of the inque… [+569 chars]",bbc-news,BBC News
Bbc News,Keir Starmer pledges to scrap red tape to boost UK investment,"The prime minister says he will ""rip out"" bureaucracy, and ask the competition watchdog to prioritise growth.",https://www.bbc.co.uk/news/articles/c3e9yk24w3eo,2024-10-14T06:43:47Z,"The run-up to the conference has been overshadowed by a row over comments made by a minister about P&amp;O Ferries.
A £1bn investment in the London Gateway container port by P&amp;O Ferries owner DP… [+1723 chars]",bbc-news,BBC News
Hannah Ritchie,Australians sell 'farewell tour' merch ahead of royal visit,"Satirical posters, T-shirts and beer coasters urge Australians to ""wave goodbye to royal reign"".",https://www.bbc.co.uk/news/articles/cn0evznvvvko,2024-10-14T00:43:16Z,"Referendums are the only way to change Australia's constitution and have an 80% failure rate.
The nation held one on the question of becoming a republic once before in 1999, which failed, however pu… [+2167 chars]",bbc-news,BBC News
Michael Race,"Mortgage rates unlikely to return to low levels, says Lloyds boss",The boss of the UK's biggest lender says mortgage costs are unlikely to fall to levels seen in the past decade.,https://www.bbc.co.uk/news/articles/cy0g6kxg12do,2024-10-13T10:31:29Z,"High interest rates can affect people in different ways. Mortgage holders with variable or tracker mortgages, or those who are looking to secure new fixed-rate deals, have faced higher monthly paymen… [+1047 chars]",bbc-news,BBC News
