Title,URL,Description,Content
Bloc Québécois says it will end House of Commons stalemate if Liberals meet demands,https://www.cbc.ca/news/politics/bloc-house-of-commons-stalemate-demands-1.7359849,Bloc Québécois Leader Yves-François Blanchet says he's willing to end the stalemate in the House of Commons and get the government's business back on track if the Liberals make progress on the Bloc's demands.,Bloc Québécois Leader Yves-François Blanchet says he's willing to end the stalemate in the House of Commons and get the government's business back on track if the Liberals make progress on the Bloc's… [+4850 chars]
Surrey to build designated ash scattering pier,https://www.cbc.ca/news/canada/british-columbia/surrey-ash-scattering-pier-proposal-1.7359720,City councillors have directed staff to move forward on building a place from where grieving families can scatter the ashes of deceased loved ones into the Fraser River.,"City councillors have directed staff to move forward on building a place from where grieving families can scatter the ashes of deceased loved ones into the Fraser River.
""For many groups, ash scatte… [+2076 chars]"
"Incoming N.B. premier says tax break, rent cap will be first moves",https://www.cbc.ca/news/canada/new-brunswick/incoming-premier-says-tax-break-and-rent-cap-first-moves-1.7359657,New Brunswick’s premier designate says two of her first orders of business will be taking the 10 per cent provincial tax off of power bills and putting a cap on rent increases to help people who are struggling to make ends meet.,"New Brunswick's premier designate says two of her first orders of business will be taking the 10 per cent provincial tax off of power bills and putting a cap on rent increases to deliver relief ""quit… [+3742 chars]"
"'Pivotal landmark': NextStar Energy starts production on battery modules in Windsor, Ont.",https://www.cbc.ca/news/canada/windsor/nextstar-ev-energy-stellantis-windsor-battery-plant-vehicle-lee-danies-1.7359593,"The NextStar Energy plant in Windsor, Ont., is the first facility of its kind to begin production in Canada, and will eventually employ 2,500 people and spur a supply chain that could lead to thousands of additional jobs.","NextStar Energy, the massive electric vehicle battery plant in Windsor, Ont., has started production on battery modules, the plant announced Tuesday.
NextStar is the first facility of its kind to be… [+2249 chars]"
Winnipeg police charge teens in break-ins at 2 businesses,https://www.cbc.ca/news/canada/manitoba/winnipeg-youth-charged-in-break-enter-theft-1.7359571,"A pair of teenagers have been charged with theft and mischief over $5,000 after two businesses were broken into on Monday.","A pair of teenagers have been charged with theft and mischief over $5,000 after two businesses in North Kildonan were broken into early Monday.
Both businesses had windows smashed, causing thousands… [+1207 chars]"
"St. John's has no plans to introduce organic waste collection any time soon, says mayor",https://www.cbc.ca/news/canada/newfoundland-labrador/st-johns-organic-waste-plan-hold-1.7357596,St. John’s Mayor Danny Breen says expanding curbside pickup to include organic waste would take money and infrastructure the city doesn't have.,"The City of St. John's has no plans to extend its curbside pickup program to include organic waste, with the mayor saying they're waiting on the Newfoundland and Labrador government to step in with a… [+4035 chars]"
Former Abercrombie & Fitch CEO Mike Jeffries faces federal sex trafficking charges,https://www.cbc.ca/news/business/abercrombie-ceo-arrested-1.7359314,"Former Abercrombie & Fitch CEO Mike Jeffries, his romantic partner and a third man were arrested Tuesday on charges of luring men into sex parties held around the world, sometimes by dangling the promise of modeling for the clothing retailer.","WARNING: This story may affect those who have experienced sexual violence or know someone affected by it.
Former Abercrombie &amp; Fitch CEO Mike Jeffries, his romantic partner and a third man were … [+7240 chars]"
City of Calgary opens new $8.2 million tech innovation centre,https://www.cbc.ca/news/canada/calgary/city-of-calgary-opens-new-8-2-million-tech-innovation-centre-1.7359087,"Located in a renovated ground floor space in the city-owned Andrew Davison building downtown, the city says the Wave Tech Centre will allow various city departments and local businesses to incorporate technology into their ideas on how to deliver public servi…","The City of Calgary opened a new centre for technological innovation on Monday that came with a price tag of $8.2 million.
Located in a renovated ground floor space in the city-owned Andrew Davison … [+1755 chars]"
"Thousands of international students at Ontario colleges miss fall semester amid uncertainty, visa delays",https://www.cbc.ca/news/canada/hamilton/international-students-college-university-ontario-1.7359239,"Thousands of international students expected to study at three Ontario colleges are missing the fall semester, after Ottawa announced it would further tighten Canada's study permit system.","Thousands of international students expected to study at three Ontario colleges are missing the fall semester, after Ottawa announced it would further tighten Canada's study permit system.
Some scho… [+5281 chars]"
Runner recovering in hospital after collapsing at Winnipeg Fire Paramedic Service half-marathon,https://www.cbc.ca/news/canada/manitoba/wfps-half-marathon-runner-collapses-1.7359090,The man in charge of the Winnipeg Fire Paramedic Service half-marathon had to put his years of paramedic experience to use after a runner collapsed just after the finish line on Sunday.,"The man in charge of the Winnipeg Fire Paramedic Service half-marathon had to put his years of paramedic experience to use after a runner collapsed just after the finish line on Sunday.
Race directo… [+2003 chars]"
"The tide goes out for New Brunswick's Blaine Higgs, anti-politician",https://www.cbc.ca/news/canada/new-brunswick/the-tide-goes-out-for-blaine-higgs-anti-politician-1.7359002,"Blaine Higgs defined himself as an anti-politician willing to depart from old, predictable patterns of governing. It worked for him at first, but it caught up with him Monday.","Early in his tenure as premier, Blaine Higgs pointed to his work at Irving Oil and the immutable rhythms of the tides in the Bay of Fundy to explain how he would govern.
Ships heavy with refined gas… [+7626 chars]"
"10 years after shooting, the debate over securing Parliament Hill continues",https://www.cbc.ca/news/politics/ten-years-parliament-shooting-security-1.7358488,"Ten years after a gunman died in a hail of bullets in Parliament’s Centre Block, security on Parliament Hill is noticeably different, but the debate over how to safeguard Canada’s national legislature is still alive.","Ten years after a gunman died in a hail of bullets in Parliament's Centre Block, security on Parliament Hill is noticeably different  but the debate over how to safeguard Canada's national legislatur… [+5227 chars]"
"117 homebuyers out millions, as Ontario builder admits to selling homes without legal approvals",https://www.cbc.ca/news/canada/toronto/sunrise-homes-illegal-sales-1.7358494,"More than 100 people are out tens of thousands of dollars each, after Sunrise Homes, the developer of a pre-construction home project in Ontario, entered receivership. The builder admitted to CBC Toronto that he's been selling homes without getting legal appr…","More than 100 people are out tens of thousands of dollars each, after the developer of a pre-construction home project in Clearview, Ont., entered receivership. 
Rayyan Shahid and his wife, who are … [+8357 chars]"
"Big losers, big winners of N.B. election night",https://www.cbc.ca/news/canada/new-brunswick/wins-losses-provincial-election-1.7359143,"With the election of a Liberal majority in New Brunswick, here's a breakdown of some of the major wins and losses.","With the election of a Liberal majority in New Brunswick, here's a breakdown of some of the major wins and losses.<li>Greg Turner, the minister of post-secondary education, training and labour, lost … [+1378 chars]"
MPI's request to hike insurance cost prompts unexpected question from consumers' group: Is the ask too low?,https://www.cbc.ca/news/canada/manitoba/mpi-insurance-rate-too-low-consumers-group-1.7358492,"The new head of Manitoba Public Insurance says a three-per-cent rate hike it's proposing for the cost of auto insurance is high enough, even though some of her staff say the Crown corporation should ask motorists for even more.","The new head of Manitoba Public Insurance says a three-per-cent rate hike for the cost of auto insurance is high enough, even though some of her staff say the Crown corporation should ask motorists f… [+4190 chars]"
"Blaine Higgs loses seat, 'extremely unlikely' to remain as leader",https://www.cbc.ca/news/canada/new-brunswick/nb-election-pc-results-1.7358751,New Brunswick Premier Blaine Higgs lost his own seat in the election Monday and said it's unlikely he will remain as leader of the Progressive Conservative Party.,"New Brunswick Premier Blaine Higgs lost his own seat in the election Monday and said it's unlikely he will remain as leader of the Progressive Conservative Party.
Elections N.B. results show the par… [+4796 chars]"
"Israeli strike near Beirut hospital kills 4, including child, and wounds 24, Lebanese officials say",https://www.cbc.ca/news/world/israel-strikes-beirut-hospital-1.7358616,"A child and three adults were killed and 24 others were wounded on Monday in an Israeli strike near Rafik Hariri University Hospital, the main public hospital in the Lebanese capital, Beirut, the national Health Ministry said in a statement.","A child and three adults were killed and 24 others were wounded on Monday in an Israeli strike near Rafik Hariri University Hospital, the main public hospital in the Lebanese capital, Beirut, the nat… [+3615 chars]"
Former Iron Maiden lead singer Paul Di'Anno dead at 66,https://www.cbc.ca/news/entertainment/paul-di-anno-dies-1.7358662,"Paul Di'Anno, the frontman for British heavy metal group Iron Maiden's first two albums, has died. He was 66.","Paul Di'Anno, the one-time frontman for British heavy metal group Iron Maiden, has died. He was 66.
The singer's record label, Conquest Music, confirmed his death in a post on his public Facebook ac… [+2347 chars]"
Top fashion designers crowned at Canadian Arts & Fashion Awards,https://www.cbc.ca/news/entertainment/cafa-gala-fashion-designers-1.7358526,The Canadian Arts & Fashion Awards have crowned Beaufille and Spencer Badu this year's top fashion designers at a gala held in Toronto over the weekend.,"The Canadian Arts &amp; Fashion Awards have crowned Beaufille and Spencer Badu this year's top fashion designers.
Beaufille, founded and designed by sisters Chloe and Parris Gordon, was named womens… [+1456 chars]"
'Take your time': Trans Mountain CEO says Ottawa shouldn't rush to sell pipeline,https://www.cbc.ca/news/politics/trans-mountain-pipeline-maki-1.7358534,"Trans Mountain's new CEO is calling on the federal government to be a ""disciplined seller"" and to not rush to sell the newly twinned $34 billion pipeline.","Trans Mountain's new CEO says the federal government shouldn't rush to sell the newly twinned $34 billion pipeline.
""What the government needs to be here is a disciplined seller. Full stop. And a di… [+3416 chars]"
WNBA players union opts out of current collective bargaining agreement 2 years early,https://www.cbc.ca/sports/basketball/wnba-players-union-cba-opt-out-1.7358624,"The WNBA players union has decided to opt out of the current collective bargaining agreement, two years before its expiration. The league and players union had the option to do so before Nov. 1.","The WNBA players union has decided to opt out of the current collective bargaining agreement, two years before its expiration. The league and players union had the option to do so before Nov. 1.
The… [+2516 chars]"
2 men plead guilty to murder of Ripudaman Singh Malik,https://www.cbc.ca/news/canada/british-columbia/ripudaman-malik-guilty-plea-1.7358490,"Two B.C. men pleaded guilty Monday to second-degree murder in the July 2022 shooting death of Ripudaman Singh Malik, one of two men acquitted in the 1985 Air India bombings.","Two B.C. men pleaded guilty Monday to second-degree murder in the 2022 shooting death of Ripudaman Singh Malik, one of two men acquitted in the 1985 Air India bombings.
Tanner Fox and Jose Lopez ent… [+875 chars]"
"Six months on, what has the Trans Mountain pipeline project achieved and what's next?",https://www.cbc.ca/news/canada/calgary/trans-mountain-pipeline-cost-overruns-1.7357954,"Nearly six months after its opening, the Trans Mountain pipeline expansion is boosting Canada's energy sector as promised — but questions still linger about who will pay for the project's massive cost overruns.","Nearly six months after its opening, the Trans Mountain pipeline expansion is boosting Canada's energy sector as promised but questions still linger about who will pay for the project's massive cost … [+6389 chars]"
"Parliament returns amid partisan wrangling, rumblings about Trudeau's leadership",https://www.cbc.ca/news/politics/parliament-returns-trudeau-leadership-1.7358186,"The House of Commons returns today from a week-long break, but it's unlikely to be business as usual. Members of Parliament resumed an 11th day of debate on a Conservative demand for documents about federal spending on green technology projects.","The House of Commons returns today from a week-long break, but it's unlikely to be business as usual.
Members of Parliament are in their 11th day of debate on a Conservative demand for documents abo… [+1958 chars]"
Boeing proposal for workers could add more than $1 billion US in wages over 4 years,https://www.cbc.ca/news/business/boeing-proposed-contract-1.7358136,"Boeing has reached a tentative labour contract proposal that could see the company provide more than $1 billion US in wage increases for workers over four years, analysts say.","Boeing has reached a tentative labour contract proposal that could see the company provide more than $1 billion US in wage increases for workers over four years, analysts say. 
About 33,000 workers … [+2701 chars]"
"Lac du Bonnet water project flows from new spirit of co-operation between town and RM, say councillors",https://www.cbc.ca/news/canada/manitoba/lac-du-bonnet-water-project-1.7356120,"After years of discord and rivalries, the councils of the Town of Lac du Bonnet and the surrounding municipality say they're setting aside their differences in an effort to attract more economic opportunities to the area.","After years of discord and rivalries, the councils of the Town of Lac du Bonnet and the surrounding rural municipality say they're setting aside their differences in an effort to attract more economi… [+5191 chars]"
Sask. minister fired Crown corp. board chair who blew whistle on apparent conflicts of interest,https://www.cbc.ca/news/canada/saskatchewan/minister-jeremy-harrison-fired-crown-corp-board-chair-who-blew-the-whistle-on-apparent-conflicts-of-interest-1.7352049,"In early 2022, Dennis Fitzpatrick, the board chair of the Saskatchewan Research Council (SRC), raised concerns about possible conflicts of interest involving the organization's president and CEO, Mike Crabtree. Shortly after raising the concerns, Fitzpatrick …","As Dennis Fitzpatrick sat in an airport lounge in Calgary on Nov. 7, 2021, he received a surprising email. 
Little did he know, it would help him uncover a web of troubling relationships inside an i… [+23643 chars]"
"Two years ago, the world promised to protect nature. Pressure is mounting to deliver",https://www.cbc.ca/news/climate/cop16-biodiversity-setup-1.7356377,"Two years ago in Montreal, almost 200 countries signed a landmark agreement to reverse the loss of nature by the end of the decade. This week in Colombia, delegates will meet once again — and advocates are hoping to see them make good on their promises.","Two years ago in Montreal, nearly 200 countries signed a landmark agreement to reverse the loss of nature by the end of the decade and raise $700 billion a year to achieve that goal.
Over the next t… [+3834 chars]"
Post-pandemic frustration characterizes 3 provincial elections,https://www.cbc.ca/news/canada/new-brunswick/provinces-similar-election-campaigns-1.7357606,Frustration with the cost of living and party appeals to voter fears have made for close races in three provinces.,"The central issues in October's provincial elections in Canada have much in common.
Some are no surprise as the country grapples with health and cost-of-living challenges post-pandemic. 
St. Thomas… [+5043 chars]"
Cars torched on this Montreal street on back-to-back nights,https://www.cbc.ca/news/canada/montreal/toched-car-cartierville-arson-spvm-1.7357592,Montreal police say a car was deliberately set on fire for a second consecutive night on de Louisbourg Street in the city's Cartierville neighbourhood.,"For the second consecutive night, residents on a street in Montreal's Cartierville neighbourhood woke up to the sounds of firetrucks and smells of a criminal fire.
Montreal police say firefighters r… [+1287 chars]"
Abandoning net-zero emissions targets among policy proposals at UCP AGM,https://www.cbc.ca/news/canada/edmonton/abandoning-net-zero-emissions-targets-among-policy-proposals-at-ucp-agm-1.7357320,United Conservative Party members have proposed a resolution that would see the party take the stance of removing the designation of CO2 as a pollutant and abandoning net-zero targets in Alberta.,"United Conservative Party members have proposed a resolution that would see the party take the stance of removing the designation of CO2 as a pollutant and abandoning net-zero targets in Alberta. 
T… [+3741 chars]"
Halal claims exposed; Retailers spending millions on police to combat theft: CBC's Marketplace cheat sheet,https://www.cbc.ca/news/business/marketplace-cheat-sheet-oct20-1.7356708,CBC's Marketplace rounds up the consumer and health news you need from the week.,"Miss something this week? Don't panic. CBC's Marketplace rounds up the consumer and health news you need.
Want this in your inbox? Get the Marketplace newsletter every Friday.
Fast-food chains serv… [+6577 chars]"
Something looms in the air: A deep-freeze fiasco and the uncertainty of life,https://www.cbc.ca/news/canada/newfoundland-labrador/andrew-waterman-first-person-deep-freeze-1.7352290,"The phrase ""something looms in the air"" — the suggestion of impending disaster over a pleasant melody — sounds like a song to me.","I woke early on Saturday morning humming a simple melody. As I lay still under the covers, I could see the structure and chords of a song. It may as well have been written on the ceiling. A five-word… [+5045 chars]"
Why wait to retire? These Canadians are embracing the adult gap year instead,https://www.cbc.ca/radio/costofliving/adult-gap-year-mini-retirement-1.7354903,Human resources professionals say Canadian companies are seeing more employees asking to take absences from work that are longer than standard vacation time allows. Some call it a mini-retirement; others refer to it as an ‘adult gap year.’,"Nick Thompson and his wife, Melanie, love to watch their kids swim in the river near a waterfall on the property where they live in southern Ecuador, on the edge of the Amazon rainforest.
""It's the … [+7743 chars]"
"'Community cabinet' aims to add more Francophones, Indigenous fans to Sens fold",https://www.cbc.ca/news/canada/ottawa/community-cabinet-aims-to-add-more-francophones-indigenous-fans-to-sens-fold-1.7357314,"The Ottawa Senators franchise is looking to diversify its fan base with the announcement of a new ""community cabinet"" aimed at engaging with Francophone and Indigenous Canadians living in the Ottawa-Gatineau region","The Ottawa Senators franchise is looking to diversify its fan base with the announcement of a new ""community cabinet"" aimed at engaging with Francophone and Indigenous Canadians living in the Ottawa-… [+2907 chars]"
New report recommends Alberta remove auto insurance rate cap,https://www.cbc.ca/news/canada/calgary/alberta-auto-insurance-rate-cap-jack-mintz-1.7357230,"The province of Alberta should remove caps on insurance premiums, lower the provincial insurance tax rate and introduce a limited form of no-fault coverage, says a new report prepared for the Insurance Bureau of Canada.","The province of Alberta should remove caps on insurance premiums, lower the provincial insurance tax rate and introduce a limited form of no-fault coverage, says a new report prepared for the Insuran… [+5877 chars]"
"Pictou mayor, businesses call for more reliable ferry service to P.E.I.",https://www.cbc.ca/news/canada/nova-scotia/pictou-mayor-ferry-service-confederation-1.7355756,Business owners in Pictou N.S. are joining the mayor in calling for a more dependable ferry service after news the route to P.E.I. that was already suspended may not return until December.,"Business owners in Pictou, N.S., are joining the mayor in calling for a more dependable ferry service after newsthe route to P.E.I. that was already suspended may not return until December.
The town… [+3058 chars]"
Ontario craft brewers say they're struggling to keep up due to high taxes,https://www.cbc.ca/news/canada/toronto/ontario-craft-brewers-high-taxes-1.7356333,Ontario Craft Brewers says the provincial government needs to speed up its review of alcohol taxes as the retail market expands. The review started last year after the organization launched a campaign highlighting that Ontario has the highest craft beer taxes…,"Ontario craft brewers say the province needs to speed up its review of alcohol taxes, fearing small breweries will be forced to shut down because of them and be unable to grow amid an expanded retail… [+3388 chars]"
X is the latest social media site letting 3rd parties use your data to train AI models,https://www.cbc.ca/news/business/x-third-parties-user-data-1.7356152,"Starting Nov. 15, X will share user data — including posts, likes, bookmarks and reposts — with third-party platforms that may use the information to train AI models.","Elon Musk's X was already using your data to train its own artificial intelligence. Soon, it'll let other companies do the same.
Starting Nov. 15, the social media site formerly known as Twitter wil… [+4954 chars]"
"Gendered change room policy in Sask. schools would put trans kids at risk, say advocates, families",https://www.cbc.ca/news/canada/saskatoon/change-room-policy-transgender-reaction-1.7356488,"Saskatchewan Party Leader Scott Moe has said if re-elected this month, the party's ""first order of business"" would be a policy restricting students to change rooms based on their assigned sex at birth. Some advocates and families say trans kids are being used…","Some advocates and families in Saskatchewan say trans kids are being used as a political pawn in this year's election campaign, and they're concerned about a campaign promise made by one party this w… [+7103 chars]"
Where the parties stand on government transparency,https://www.cbc.ca/news/canada/new-brunswick/new-brunswick-transparency-right-to-information-1.7356308,Liberal and Progressive Conservative governments in New Brunswick have both been criticized for transparency and public accountability issues.,"Liberal and Progressive Conservative governments in New Brunswick have both been criticized for transparency and public accountability issues.
New Brunswick's Right to Information Act has been ranke… [+5044 chars]"
Immigration minister calls attempt to oust PM 'passive-aggressive ... weak',https://www.cbc.ca/news/politics/miller-passive-aggressive-oust-trudeau-1.7356544,"Immigration Minister Marc Miller said efforts of Liberals to get the prime minister to step aside is ""the most passive-aggressive"" display of questioning leadership he has ever seen.","Immigration Minister Marc Miller said Friday that an attempt by Liberal caucus members to get Prime Minister Justin Trudeau to step down is ""the most passive-aggressive"" display he has ever seen.
Mi… [+3446 chars]"
"How the proposed deal between provinces, smokers and tobacco companies would work work",https://www.cbc.ca/news/health/tobacco-compensation-payment-canada-provinces-smokers-1.7356282,Here are some key facts about the plan for Canada's three biggest tobacco companies to pay out $32.5 billion in compensation to provincial and territorial governments and to some smokers.,"A plan for Canada's three biggest tobacco companies to pay out $32.5 billion to provinces, territories and smokers is now in the works, but some hurdles remain before any money starts flowing. 
Here… [+4564 chars]"
Ottawa police delaying body-worn cameras until at least 2026,https://www.cbc.ca/news/canada/ottawa/ottawa-police-body-cameras-delay-1.7355946,"Ottawa police say it will be at least 14 months before officers can be outfitted with body-worn cameras, and are blaming the delay on budget constraints.","Ottawa police say it will be at least 14 months before officers can be outfitted with body-worn cameras, and are blaming the delay on budget constraints.
On Friday, Deputy Chief Steve Bell told the … [+2766 chars]"
Freedom of information system review would not be derailed by early N.S. election,https://www.cbc.ca/news/canada/nova-scotia/freedom-of-information-protection-of-privacy-government-1.7356343,"Work on a review of Nova Scotia's Freedom of Information and Protection of Privacy Act will continue even in the event of an early provincial election call, a Justice Department spokesperson says.","Work on a review of Nova Scotia's Freedom of Information and Protection of Privacy Act will continue even in the event of an early provincial election call, Justice Department spokesperson Lynette Ma… [+2834 chars]"
U.S. regulator investigating Tesla's self-driving software after fatal crash,https://www.cbc.ca/news/business/us-regulator-tesla-self-driving-1.7355794,"The U.S. National Highway Traffic Safety Administration says it's opening an investigation into 2.4 million Tesla vehicles with the automaker's Full Self-Driving software after four reported collisions, including a fatal crash.",The U.S. National Highway Traffic Safety Administration on Friday said it was opening an investigation into 2.4 million Tesla vehicles with the automaker's Full Self-Driving software after four repor… [+3551 chars]
Manitoba reaches deal to join federal school food program,https://www.cbc.ca/news/politics/friday-manitoba-school-food-1.7354975,Manitoba Premier Wab Kinew's NDP government is set today to become the second province to sign on for a slice of the $1 billion federal school food program.,"Manitoba Premier Wab Kinew's NDP government is set to become the second province to sign on for a slice of the $1 billion federal school food program.
Finance Minister Chrystia Freeland and Social D… [+6082 chars]"
Candidates differ on how to boost business in Port Hawkesbury,https://www.cbc.ca/news/canada/nova-scotia/candidates-differ-on-how-to-boost-business-port-hawkesbury-1.7354936,"Business growth is emerging as a key topic for Port Hawkesbury's seven town council hopefuls, but they're taking different approaches on how to bring more jobs to the town.","Business growth is emerging as a key topic for the candidates running for Port Hawkesbury town council in the Oct. 19 municipal election, but they're taking different approaches on how to bring more … [+3352 chars]"
Sports teams continue to penalize themselves with tone-deaf nicknames and marketing,https://www.cbc.ca/sports/shireen-ahmed-team-names-oct-18-1.7354933,"When it comes to choosing team nicknames, recent experiences show many heads in consultation and discussion are better than a few.","Last week, my colleague Brittany MacLean and I rated the newly released names and logos of the Northern Super League teams, which begins its inaugural season next spring.
After that discussion, I ke… [+7491 chars]"
Dead animal pickup times in Toronto prolonged by spike in calls,https://www.cbc.ca/news/canada/toronto/dead-animal-pickup-1.7354762,"It can now take more than a week for City of Toronto staff to retrieve an animal cadaver after it's reported. And that stinks, according to one city councillor.","It can now take weeks for City of Toronto staff to retrieve an animal cadaver after it's reported. And that track record stinks, according to one city councillor.
A motion by Brad Bradford (Ward 19,… [+3443 chars]"
"Fast-food chains serving up halal food with a side of misinformation, expired certificates",https://www.cbc.ca/news/marketplace/fast-food-chains-serving-up-halal-food-with-a-side-of-misinformation-expired-certificates-1.7352523,"Some of Canada’s most popular restaurants are now serving halal food, but a Marketplace investigation finds many popular chains including KFC and Boston Pizza can't always answer basic questions about the halal food they serve, or provide proof to back their …","Challenging and frustrating. 
That's how Mohammad Arfan describes his experience trying to get the answers he needs before sitting down to a meal. 
As the face of In2Spices,
 a YouTube channel he … [+9351 chars]"
Alberta government 'deeply concerned' with Bloc Québécois supply management bill,https://www.cbc.ca/news/canada/calgary/supply-management-bloc-quebecois-yves-fran%C3%A7ois-blanchet-1.7355248,"Though Bill C-282 has received cross-party federal support in Ottawa, Alberta's provincial government says it's not a backer of the Bloc Québécois legislation that aims to prevent Canada's supply-managed sectors — dairy, poultry and eggs — from being included…","Though Bill C-282 has received cross-party federal support in Ottawa, Alberta's provincial government says it's not a backer of the Bloc Québécois legislation that aims to prevent Canada's supply-man… [+8057 chars]"
"'We want the game to grow': Sonndr Cafe in west Toronto promoting soccer culture, community",https://www.cbc.ca/sports/soccer/sonndr-soccer-cafe-toronto-1.7350926,"A neighbourly cafe in west Toronto has emerged as a hub for its growing community. However, the owners — united by a love of soccer — are doing more than just providing a caffeine fix; they’re fostering a culture of belonging through a passion for the sport.","A neighbourly cafe in west Toronto has emerged as a hub for its growing community.
However, the owners united by a love of soccer of Sonndr Cafe are doing more than just providing a caffeine fix; th… [+4745 chars]"
Sask. Party's '1st order of business' to be gendered change room policy in schools: Scott Moe,https://www.cbc.ca/news/canada/saskatchewan/sask-changeroom-policy-1.7355068,"The policy was not part of the platform released over the weekend. Moe said the party was just alerted to concerns ""recently.""","Saskatchewan Party Leader Scott Moe said Thursday that his ""first order of business"" if re-elected this month would be to establish a policy restricting students' use of change rooms in the province'… [+5326 chars]"
"EV chargers draw customers to local businesses, study suggests",https://www.cbc.ca/news/science/what-on-earth-ev-chargers-1.7354629,"In this week's issue of our environmental newsletter, we see how EV chargers give nearby businesses a boost, how communities are protecting drinking water from toxic algae, and look at a greener shipping option now available in Canada.","Our planet is changing. So is our journalism. Keep up with the latest news on our Climate and Environment page.
Sign up here to get this newsletter in your inbox every Thursday. 
This week:
<ul><l… [+10776 chars]"
